GEOID,year,scenario,pixel_count,annual_mean_temp_c,annual_min_temp_c,annual_max_temp_c,high_temp_days_90th,high_temp_days_95th,low_temp_days_10th,annual_mean_min_temp_c,annual_precipitation_mm,high_precip_days_95th,high_precip_days_95th.1,hot_days_30c,threshold_90th_c,threshold_95th_c,cold_days_0c,threshold_10th_c,very_cold_days_10th,extremely_cold_days_5th,ultra_cold_days_1st,threshold_10th_c_cold,threshold_5th_c,threshold_1st_c,growing_degree_days,precip_per_high_day,high_day_ratio
55021,2057,ssp245,5,21.557361602783203,11.026189804077148,29.71111488342285,113.8,68.0,0.0,15.989977836608888,1538.5767822265625,100.6,100.6,0.0,26.696685791015625,28.697906494140625,0.0,-1.8099365234375,0.0,0.0,0.0,-7.38555908203125,-10.92608642578125,-17.867507934570312,4218.4384765625,15.294003799468813,27.56164383561644
55021,2061,ssp245,5,21.65437698364257,11.254522323608398,29.69305992126465,112.2,73.6,0.0,16.107257843017578,1563.0478515625,101.4,101.4,0.0,26.783068847656267,28.7589111328125,0.0,-1.554412841796875,0.0,0.0,0.0,-7.300750732421875,-10.798867797851562,-17.39606719970703,4253.84619140625,15.414673092332347,27.78082191780822
55021,2068,ssp245,5,21.81989479064941,10.986761093139648,29.9742374420166,112.6,70.0,0.0,16.31026268005371,1531.256103515625,100.4,100.4,1.0,27.0631103515625,29.009521484375,0.0,-1.3323974609375,0.0,0.0,0.0,-7.072894287109374,-10.51483154296875,-16.97540283203125,4314.2626953125,15.251554815892678,27.506849315068493
55021,2069,ssp245,5,21.8552303314209,11.191320419311523,29.9532470703125,111.6,68.4,0.0,16.325347900390625,1503.5501708984375,101.4,101.4,0.4,27.1260986328125,29.07049560546875,0.0,-1.2470703125,0.0,0.0,0.0,-7.0166015625,-10.408477783203123,-16.884907836914063,4327.1591796875,14.827910955605892,27.78082191780822
55021,2070,ssp245,5,21.88188743591309,11.501195907592772,29.92449378967285,110.8,68.2,0.0,16.346309661865234,1499.4876708984375,101.4,101.4,0.2,27.138336181640625,29.0904541015625,0.0,-1.156158447265625,0.0,0.0,0.0,-6.950531005859375,-10.349395751953123,-16.85773681640625,4336.88818359375,14.787846853041788,27.78082191780822
55021,2073,ssp245,5,21.873384475708008,10.458569526672363,29.9355411529541,112.4,68.4,0.0,16.328014373779297,1520.93115234375,102.4,102.4,0.2,27.153472900390625,29.120086669921875,0.0,-1.198822021484375,0.0,0.0,0.0,-6.992480468749999,-10.364654541015623,-16.908538208007812,4333.7841796875,14.852843284606934,28.054794520547947
55021,2076,ssp245,5,21.9523983001709,10.281805038452148,29.91044235229492,112.6,69.4,0.0,16.47684669494629,1532.469482421875,104.0,104.0,0.2,27.1717529296875,29.155191040039057,0.0,-1.117095947265625,0.0,0.0,0.0,-6.81597900390625,-10.203408813476562,-16.7468359375,4362.65625,14.735283484825722,28.493150684931507
55021,2077,ssp245,5,21.985132217407227,10.280755996704102,29.88861656188965,113.2,69.0,0.0,16.48238754272461,1526.9127197265625,102.6,102.6,0.0,27.2152099609375,29.193145751953125,0.0,-1.209503173828125,0.0,0.0,0.0,-6.869140625,-10.267596435546874,-16.75719177246094,4374.60400390625,14.882190250746223,28.10958904109589
55021,2078,ssp245,5,22.01351928710937,10.158533096313477,29.884906768798828,112.0,69.8,0.0,16.526065826416016,1536.4522705078125,102.2,102.2,0.0,27.222412109375,29.198638916015625,0.0,-1.191650390625,0.0,0.0,0.0,-6.868212890624999,-10.269601440429687,-16.669677124023437,4385.0126953125,15.033779554870963,28.000000000000004
55021,2079,ssp245,5,22.040971755981445,10.585235595703123,29.86558151245117,112.0,67.0,0.0,16.530094146728516,1549.069580078125,107.0,107.0,0.0,27.2733154296875,29.2255859375,0.0,-1.21783447265625,0.0,0.0,0.0,-6.868988037109375,-10.29107666015625,-16.709472045898437,4394.955078125,14.477285795122663,29.315068493150687
55021,2080,ssp245,5,22.060020446777344,10.618535995483398,29.914697647094727,112.6,66.6,0.0,16.54413604736328,1548.3870849609375,108.4,108.4,0.2,27.30852050781252,29.251220703125,0.0,-1.16229248046875,0.0,0.0,0.0,-6.821136474609375,-10.228240966796877,-16.663115844726562,4401.90771484375,14.284013698901637,29.698630136986303
55021,2081,ssp245,5,22.061410903930664,10.746539115905762,29.9736270904541,114.2,69.4,0.0,16.547693252563477,1546.9949951171875,100.4,100.4,1.4,27.265167236328125,29.222869873046875,0.0,-1.0003662109375,0.0,0.0,0.0,-6.680877685546875,-10.00311279296875,-16.404825439453123,4402.4130859375,15.408316684434137,27.506849315068493
55021,2082,ssp245,5,22.067392349243164,10.233001708984377,29.913488388061523,114.0,68.6,0.0,16.560937881469727,1549.0726318359375,100.8,100.8,0.4,27.284942626953125,29.226531982421875,0.0,-0.9736511230468744,0.0,0.0,0.0,-6.6739501953125,-9.966217041015623,-16.405964965820313,4404.64111328125,15.367784045991444,27.61643835616438
55021,2083,ssp245,5,22.07599258422852,10.6279296875,29.965595245361328,114.0,68.4,0.0,16.581148147583008,1552.2730712890625,101.4,101.4,0.8,27.298492431640625,29.24105834960937,0.0,-0.9983703613281244,0.0,0.0,0.0,-6.710418701171875,-9.96307373046875,-16.33832763671875,4407.73681640625,15.308412931844797,27.78082191780822
55021,2089,ssp245,5,22.272361755371094,10.949029922485352,30.199939727783203,119.0,67.2,0.0,16.7969913482666,1592.828857421875,100.2,100.2,10.4,27.446014404296875,29.368417358398432,0.0,-0.953460693359375,0.0,0.0,0.0,-6.610992431640625,-9.86822509765625,-16.126007080078125,4479.41162109375,15.896495583052644,27.452054794520546
55021,2091,ssp245,5,22.339982986450195,10.901379585266112,30.399730682373047,118.6,67.6,0.0,16.877714157104492,1605.3853759765625,100.8,100.8,14.6,27.51776123046875,29.41448974609375,0.0,-0.908447265625,0.0,0.0,0.0,-6.57440185546875,-9.864144897460935,-16.172677612304685,4504.0927734375,15.926442221989708,27.61643835616438
